ADM2_PCODE	epidemic_id	t	imax	duration
CO05790	CO05790.1	94	0.0029655792277118	49
CO05790	CO05790.2	50	0.0029655792277118	301
CO05790	CO05790.3	161	0.00593115845542361	245
CO05837	CO05837.1	364	0.00162102123951638	77
CO05837	CO05837.2	139	0.00145891911556474	98
CO05837	CO05837.5	349	0.00275573610717785	105
CO05837	CO05837.6	131	0.00194522548741966	294
CO05837	CO05837.7	291	0.00145891911556474	119
CO05837	CO05837.8	105	0.00226942973532293	616
CO05895	CO05895.2	186	0.0022322201005949	56
CO05895	CO05895.4	188	0.0022322201005949	42
CO05895	CO05895.5	293	0.00297629346745987	56
CO05895	CO05895.6	18	0.00148814673372994	35
CO05895	CO05895.7	144	0.00297629346745987	42
CO05895	CO05895.8	69	0.00595258693491974	175
CO08001	CO08001.1	154	0.00336376798970437	644
CO08001	CO08001.2	291	0.00151256681416237	168
CO08001	CO08001.3	129	0.00313801174878462	273
CO08001	CO08001.5	323	0.00462800293885501	476
CO08001	CO08001.6	236	0.00257362114648523	154
CO08001	CO08001.7	277	0.00243816740193337	126
CO08001	CO08001.8	288	0.00144483994188644	112
CO08001	CO08001.9	161	0.00205438179236979	238
CO08001	CO08001.10	265	0.00370240235108401	91
CO08078	CO08078.2	357	0.00479388255930852	392
CO08078	CO08078.3	298	0.00305065253774179	70
CO08078	CO08078.4	295	0.00479388255930852	455
CO08078	CO08078.5	236	0.00915195761322536	126
CO08078	CO08078.6	277	0.00348646004313347	91
CO08078	CO08078.7	217	0.0078445350970503	224
CO08078	CO08078.8	188	0.0104593801294004	168
CO08296	CO08296.1	231	0.00387280479578952	105
CO08296	CO08296.2	286	0.00276628913984965	35
CO08296	CO08296.3	122	0.00331954696781958	42
CO08296	CO08296.5	34	0.00276628913984965	175
CO08296	CO08296.6	244	0.00331954696781958	161
CO08296	CO08296.7	117	0.00553257827969931	91
CO08296	CO08296.8	222	0.00995864090345876	238
CO08296	CO08296.9	172	0.0188107661509777	217
CO08296	CO08296.10	267	0.00276628913984965	28
CO08296	CO08296.11	231	0.00885212524751889	168
CO08433	CO08433.2	357	0.00202973607022804	238
CO08433	CO08433.3	279	0.00182676246320524	189
CO08433	CO08433.4	186	0.00182676246320524	63
CO08433	CO08433.5	361	0.00202973607022804	308
CO08433	CO08433.7	352	0.00182676246320524	140
CO08433	CO08433.8	309	0.00385649853343328	917
CO08433	CO08433.9	172	0.00385649853343328	231
CO08433	CO08433.10	140	0.00182676246320524	91
CO08433	CO08433.11	280	0.00182676246320524	147
CO08433	CO08433.12	286	0.00223270967725085	70
CO08573	CO08573.2	200	0.00179550857551773	77
CO08573	CO08573.3	305	0.00209476000477069	105
CO08573	CO08573.4	275	0.00149625714626478	105
CO08573	CO08573.5	306	0.00508727429730025	84
CO08573	CO08573.6	291	0.00299251429252956	98
CO08573	CO08573.7	308	0.00149625714626478	28
CO08573	CO08573.8	321	0.00149625714626478	35
CO08638	CO08638.1	357	0.0028432762296928	350
CO08638	CO08638.2	358	0.0033602355441824	392
CO08638	CO08638.3	257	0.007754389717344	119
CO08638	CO08638.4	221	0.00646199143112	147
CO08638	CO08638.5	280	0.0033602355441824	133
CO08638	CO08638.6	97	0.003877194858672	259
CO08758	CO08758.3	252	0.00212802056534396	560
CO08758	CO08758.4	192	0.0010260099154337	224
CO08758	CO08758.6	316	0.00281202717563309	518
CO08758	CO08758.7	215	0.00140601358781655	196
CO08758	CO08758.9	270	0.00144401395505483	140
CO08758	CO08758.10	246	0.00159601542400797	182
CO08758	CO08758.11	196	0.00106401028267198	217
CO08758	CO08758.12	272	0.00159601542400797	84
CO13052	CO13052.1	304	0.00284449073424545	63
CO13052	CO13052.3	358	0.00284449073424545	210
CO13052	CO13052.4	230	0.00248892939246476	112
CO13052	CO13052.5	250	0.00497785878492953	210
