"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
521	"META"	"LA MACARENA"	"COLOMBIA, META, LA MACARENA"	14043	"la macarena"	"meta"	"CO50350"
522	"BOLIVAR"	"SOPLAVIENTO"	"COLOMBIA, BOLIVAR, SOPLAVIENTO"	13529	"soplaviento"	"bolivar"	"CO13760"
523	"CESAR"	"ASTREA"	"COLOMBIA, CESAR, ASTREA"	13761	"astrea"	"cesar"	"CO20032"
524	"BOLIVAR"	"EL GUAMO"	"COLOMBIA, BOLIVAR, EL GUAMO"	13508	"el guamo"	"bolivar"	"CO13248"
525	"SANTANDER"	"CERRITO"	"COLOMBIA, SANTANDER, CERRITO"	14220	"cerrito"	"santander"	"CO68162"
526	"RISARALDA"	"APIA"	"COLOMBIA, RISARALDA, APIA"	14189	"apia"	"risaralda"	"CO66045"
527	"SANTANDER"	"GUEPSA"	"COLOMBIA, SANTANDER, GUEPSA"	14246	"guepsa"	"santander"	"CO68327"
528	"VALLE"	"ALCALA"	"COLOMBIA, VALLE, ALCALA"	14364	"alcala"	"valle"	"CO76020"
529	"SUCRE"	"EL ROBLE"	"COLOMBIA, SUCRE, EL ROBLE"	14297	"el roble"	"sucre"	"CO70233"
530	"GUAINIA"	"BARRANCO MINAS"	"COLOMBIA, GUAINIA, BARRANCO MINAS"	13951	"barranco minas"	"guainia"	"CO94343"
531	"SANTANDER"	"TONA"	"COLOMBIA, SANTANDER, TONA"	14287	"tona"	"santander"	"CO68820"
532	"GUAJIRA"	"DISTRACCION"	"COLOMBIA, GUAJIRA, DISTRACCION"	13960	"distraccion"	"guajira"	"CO44098"
533	"CUNDINAMARCA"	"RICAURTE"	"COLOMBIA, CUNDINAMARCA, RICAURTE"	13908	"ricaurte"	"cundinamarca"	"CO25612"
534	"GUAJIRA"	"HATONUEVO"	"COLOMBIA, GUAJIRA, HATONUEVO"	13961	"hatonuevo"	"guajira"	"CO44378"
535	"CORDOBA"	"COTORRA"	"COLOMBIA, CORDOBA, COTORRA"	13815	"cotorra"	"cordoba"	"CO23300"
536	"CUNDINAMARCA"	"FACATATIVA"	"COLOMBIA, CUNDINAMARCA, FACATATIVA"	13861	"facatativa"	"cundinamarca"	"CO25269"
537	"SANTANDER"	"ONZAGA"	"COLOMBIA, SANTANDER, ONZAGA"	14262	"onzaga"	"santander"	"CO68502"
538	"BOLIVAR"	"SAN ESTANISLAO"	"COLOMBIA, BOLIVAR, SAN ESTANISLAO"	13519	"san estanislao"	"bolivar"	"CO13647"
539	"BOLIVAR"	"SAN FERNANDO"	"COLOMBIA, BOLIVAR, SAN FERNANDO"	13520	"san fernando"	"bolivar"	"CO13650"
