adm_1_name	adm_2_name	full_name	FAO_GAUL_code	dengue_ID	adm2_std	adm1_std	ocha_ID
BOYACA	CORRALES	COLOMBIA, BOYACA, CORRALES	13561	1048	corrales	boyaca	CO15215
PUTUMAYO	SAN FRANCISCO	COLOMBIA, PUTUMAYO, SAN FRANCISCO	14172	1049	san francisco	putumayo	CO86755
NARINO	EL PENOL	COLOMBIA, NARINO, EL PENOL	14079	1050	el penol	narino	CO52254
BOYACA	MARIPI	COLOMBIA, BOYACA, MARIPI	13586	1051	maripi	boyaca	CO15442
BOYACA	BRICENO	COLOMBIA, BOYACA, BRICENO	13544	1052	briceno	boyaca	CO15106
NARINO	LA LLANADA	COLOMBIA, NARINO, LA LLANADA	14090	1053	la llanada	narino	CO52385
NARINO	PUERRES	COLOMBIA, NARINO, PUERRES	14106	1054	puerres	narino	CO52573
VAUPES	PACOA	COLOMBIA, VAUPES, PACOA	14410	1055	pacoa	vaupes	CO97511
AMAZONAS	LA CHORRERA	COLOMBIA, AMAZONAS, LA CHORRERA	13334	1056	la chorrera	amazonas	CO91405
VAUPES	TARAIRA	COLOMBIA, VAUPES, TARAIRA	14412	1057	taraira	vaupes	CO97666
NARINO	POTOSI	COLOMBIA, NARINO, POTOSI	14104	1058	potosi	narino	CO52560
NARINO	ILES	COLOMBIA, NARINO, ILES	14085	1059	iles	narino	CO52352
BOYACA	CERINZA	COLOMBIA, BOYACA, CERINZA	13549	1060	cerinza	boyaca	CO15162
BOYACA	BETEITIVA	COLOMBIA, BOYACA, BETEITIVA	13541	1061	beteitiva	boyaca	CO15092
CUNDINAMARCA	GAMA	COLOMBIA, CUNDINAMARCA, GAMA	13870	1062	gama	cundinamarca	CO25299
BOYACA	JERICO	COLOMBIA, BOYACA, JERICO	13580	1063	jerico	boyaca	CO15368
