xmin	xmax	ocha_ID	epidemic_id	thres	duration	imax
2013-08-25	2013-10-06	CO13244	CO13244.10	0.000677108690390786	42	0.00203132607117236
2013-12-29	2014-03-02	CO13244	CO13244.11	0.000677108690390786	63	0.00203132607117236
2015-07-12	2016-12-18	CO13244	CO13244.12	0.000677108690390786	525	0.00812530428468943
2017-03-19	2017-04-23	CO13244	CO13244.13	0.000677108690390786	35	0.00169277172597697
2017-07-09	2017-12-17	CO13244	CO13244.14	0.000677108690390786	161	0.00270843476156314
2018-12-30	2019-02-24	CO13244	CO13244.15	0.000677108690390786	56	0.00169277172597697
2019-05-19	2019-12-22	CO13244	CO13244.16	0.000677108690390786	217	0.00947952166547101
2007-05-13	2007-06-10	CO13430	CO13430.1	0.000602040944811078	28	0.00100340157468513
2010-04-18	2010-08-29	CO13430	CO13430.2	0.000602040944811078	133	0.00260884409418134
2012-05-13	2014-01-05	CO13430	CO13430.3	0.000602040944811078	602	0.00321088503899242
2014-08-03	2014-12-21	CO13430	CO13430.4	0.000602040944811078	140	0.00280952440911837
2015-04-26	2016-09-25	CO13430	CO13430.5	0.000602040944811078	518	0.0102346960617883
2019-08-18	2019-12-22	CO13430	CO13430.7	0.000602040944811078	126	0.00280952440911837
2019-08-11	2019-09-22	CO13442	CO13442.1	0.000534022031385647	42	0.00106804406277129
2010-04-04	2010-06-13	CO13468	CO13468.1	0.00112461047971744	70	0.00618535763844591
2010-08-29	2010-10-17	CO13468	CO13468.2	0.00112461047971744	49	0.00449844191886975
2013-04-28	2013-05-26	CO13468	CO13468.3	0.00112461047971744	28	0.0028115261992936
2014-06-01	2014-07-27	CO13468	CO13468.4	0.00112461047971744	56	0.00337383143915231
2014-09-21	2015-01-04	CO13468	CO13468.5	0.00112461047971744	105	0.00393613667901103
2015-05-03	2015-06-14	CO13468	CO13468.6	0.00112461047971744	42	0.00393613667901103
2015-07-26	2016-02-29	CO13468	CO13468.7	0.00112461047971744	218	0.0230545148342075
2016-04-17	2016-07-24	CO13468	CO13468.8	0.00112461047971744	98	0.00393613667901103
2019-06-02	2019-09-08	CO13468	CO13468.9	0.00112461047971744	98	0.00562305239858719
2019-09-29	2019-12-22	CO13468	CO13468.10	0.00112461047971744	84	0.00618535763844591
2013-12-15	2014-08-10	CO13657	CO13657.1	0.00149412168363421	238	0.00896473010180528
2018-10-14	2019-02-17	CO13657	CO13657.3	0.00149412168363421	126	0.0149412168363421
2019-04-14	2019-09-08	CO13657	CO13657.4	0.00149412168363421	147	0.014194155994525
2011-03-20	2011-05-29	CO13670	CO13670.1	0.000788820169368405	70	0.00315528067747362
2012-04-08	2012-10-07	CO13670	CO13670.2	0.000788820169368405	182	0.00473292101621043
2015-11-08	2016-02-07	CO13670	CO13670.3	0.000788820169368405	91	0.00315528067747362
2018-08-19	2019-01-13	CO13670	CO13670.4	0.000788820169368405	147	0.00473292101621043
2008-09-28	2008-10-26	CO13688	CO13688.1	0.00186252588237053	28	0.00310420980395088
2012-06-03	2014-02-02	CO13688	CO13688.2	0.00186252588237053	609	0.0149002070589642
2014-03-02	2014-07-27	CO13688	CO13688.3	0.00186252588237053	147	0.010554313333433
2014-09-07	2015-02-01	CO13688	CO13688.4	0.00186252588237053	147	0.00558757764711158
