simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0	26	0.019251	0.7565	0.8395	5.6874	1.1932	0.49415	0.0325	14.2221	0.95
0	27	0.012483	0.3563	0.5715	4.1626	4.526	0.55157	0.5391	6.2915	1
0	28	0.010683	0.1487	0.2403	4.563	2.1212	0.06323	0.4245	19.6485	0.8
0	29	0.005889	0.4631	0.6139	5.3882	2.09	0.77081	0.0031	10.9503	0.13
0	30	0.024291	0.5483	0.6331	5.6218	4.8028	0.50891	0.2431	17.9651	1
0	31	0.019569	0.7045	0.8311	4.5278	4.7612	0.68837	0.7377	10.1485	1
0	32	0.001275	0.5223	0.4215	5.265	1.3196	0.17537	0.9713	4.6271	0
0	33	0.012471	0.2853	0.4681	4.7766	3.5468	0.73517	0.6015	15.6509	0.99
0	34	0.019533	0.6305	0.0647	5.3686	1.962	0.90473	0.4999	2.1571	1
0	35	0.023919	0.8373	0.0465	5.3158	4.4604	0.89807	0.9131	19.9335	1
0	36	0.001395	0.6973	0.9891	4.469	4.5468	0.29255	0.3253	4.2395	0.69
0	37	0.008019	0.0189	0.2537	4.1874	3.6348	0.53753	0.8799	18.2273	0.95
0	38	0.005535	0.2749	0.2773	4.1486	1.79	0.46661	0.6831	13.5191	0.22
0	39	0.017427	0.4835	0.3011	4.2298	1.594	0.56633	0.8867	4.3611	0.82
0	40	0.002505	0.9769	0.9755	4.2046	4.2948	0.88349	0.2705	12.9681	0.97
0	41	0.012711	0.5117	0.6569	4.397	2.3612	0.31433	0.6047	3.9849	0.88
0	42	0.006765	0.5347	0.3781	5.353	2.65	0.25223	0.9729	14.2639	0.77
0	43	0.006699	0.0031	0.2055	4.5878	1.286	0.62717	0.3947	16.5781	0.08
0	44	0.002043	0.9951	0.4693	5.6174	1.3068	0.31559	0.8869	15.1379	0
0	45	0.001131	0.8709	0.2137	5.9018	3.966	0.54545	0.0373	3.8595	0.51
0	46	0.018675	0.2085	0.5691	5.2038	2.378	0.52349	0.2097	9.9699	1
0	47	0.002277	0.1653	0.9221	4.713	4.7756	0.85127	0.4867	17.8359	0.9
0	48	0.010275	0.0721	0.6757	5.0114	4.8548	0.49343	0.0019	7.4087	1
0	49	0.006045	0.5521	0.3653	4.3194	4.9476	0.82931	0.1185	17.9499	0.99
0	50	0.003543	0.2059	0.0321	4.485	4.0708	0.16853	0.8911	5.4403	0.83
0	51	0.029409	0.2225	0.9915	5.2534	4.0316	0.43871	0.9111	16.6161	1
0	52	0.021573	0.7191	0.4783	5.3858	4.458	0.47255	0.3327	3.5175	1
0	53	0.009711	0.0025	0.1595	4.0022	2.7076	0.81239	0.5355	16.6085	0.96
0	54	0.010257	0.5583	0.6631	4.757	1.5644	0.89843	0.6935	2.7765	0.21
0	55	0.009663	0.2581	0.5761	5.131	4.8284	0.51449	0.1333	5.2123	0.99
0	56	0.013743	0.8859	0.7349	5.5806	2.7524	0.21569	0.7757	16.1259	0.99
0	57	0.020163	0.2769	0.7409	4.3598	1.1884	0.77801	0.0233	2.4991	0.92
0	58	0.017775	0.1287	0.7691	4.227	4.95	0.55319	0.7423	6.7741	1
0	59	0.025995	0.3167	0.0037	4.4162	4.5236	0.05387	0.7547	1.2033	0.99
0	60	0.014541	0.3001	0.7581	5.4494	4.0116	0.75101	0.5639	16.5135	1
0	61	0.018903	0.9739	0.6111	4.4858	3.146	0.89303	0.6273	8.5069	0.11
0	62	0.001215	0.7991	0.8047	5.7302	2.7628	0.10319	0.3123	10.2701	0
0	63	0.005277	0.3137	0.7787	5.6462	4.6228	0.41027	0.3351	18.2843	0.99
0	64	0.003363	0.5849	0.7933	4.9698	2.3564	0.61655	0.9515	12.1245	0.1
0	65	0.010989	0.9861	0.6837	4.0886	2.9204	0.11489	0.4997	13.7699	0.68
0	66	0.019395	0.4487	0.8459	4.9254	1.6364	0.34925	0.8645	10.8211	0.97
0	67	0.003489	0.7439	0.2429	4.249	2.1276	0.54005	0.5341	15.3013	0.2
0	68	0.001575	0.3385	0.5809	4.2974	3.6324	0.38381	0.1783	3.2477	0
0	69	0.004695	0.5779	0.9161	5.2582	2.5196	0.86711	0.2995	2.5827	0.92
0	70	0.019245	0.8501	0.8365	4.687	3.4924	0.69737	0.3621	7.2985	1
0	71	0.020619	0.5283	0.9655	4.9342	2.2236	0.51017	0.1447	11.3531	1
0	72	0.024915	0.2923	0.8559	5.8258	1.0596	0.81725	0.1917	9.5975	0.96
0	73	0.016911	0.0705	0.9507	5.087	4.6268	0.13127	0.6481	16.7795	1
0	74	0.000831	0.1403	0.9761	4.1634	3.222	0.49361	0.0219	8.8223	0
0	75	0.018585	0.7707	0.4937	4.0222	4.5644	0.52277	0.3563	19.3255	0.94
0	76	0.016407	0.6697	0.9543	4.7514	3.3532	0.32027	0.4759	18.5237	1
0	77	0.012639	0.4285	0.8717	4.6894	2.9548	0.42521	0.6307	1.7315	1
0	78	0.016539	0.2669	0.7911	4.8034	4.0932	0.24917	0.7415	19.6903	1
0	79	0.009309	0.3773	0.4835	4.5046	3.2092	0.16151	0.5065	12.9719	0.86
0	80	0.003009	0.4785	0.0917	5.4674	2.0468	0.69287	0.9777	9.1111	0.22
0	81	0.013617	0.3421	0.8359	5.9694	1.9716	0.57821	0.9235	12.2689	0.99
0	82	0.015429	0.6649	0.3127	4.1066	1.998	0.19553	0.3081	15.6851	0.87
0	83	0.007593	0.3197	0.0103	5.1134	4.4036	0.18887	0.6647	11.1821	0.99
0	84	0.010557	0.1083	0.3357	5.6554	1.2972	0.38525	0.1637	13.6141	0.77
0	85	0.017145	0.2011	0.8053	5.0686	1.2076	0.39803	0.6079	17.9347	0.89
0	86	7.5e-05	0.2247	0.9979	5.0566	3.5364	0.15557	0.9823	12.8541	0
0	87	0.010269	0.3371	0.8635	5.745	4.3124	0.67757	0.1581	6.7931	1
0	88	0.017937	0.9137	0.0653	5.2702	1.5036	0.85919	0.5115	4.1635	1
0	89	0.010947	0.2611	0.9777	5.387	1.022	0.38345	0.8217	19.9867	0.76
0	90	0.004353	0.6701	0.7069	5.9038	4.2716	0.28013	0.7293	6.6069	0.93
0	91	0.021123	0.1435	0.5009	4.1922	4.0828	0.41279	0.0493	2.8259	1
0	92	0.021153	0.9107	0.8687	4.8662	3.2028	0.85739	0.4875	9.7533	1
0	93	0.012663	0.5547	0.1863	4.7942	4.754	0.60683	0.4085	10.2967	1
0	94	0.020091	0.5063	0.4807	4.8326	1.3972	0.20057	0.6393	17.5243	0.61
0	95	0.014799	0.2961	0.6617	4.4678	2.7404	0.17807	0.8183	19.0063	0.97
0	96	0.010797	0.5891	0.2253	5.0306	2.4188	0.08015	0.5657	3.8481	0.95
0	97	0.026331	0.9725	0.2639	4.761	1.9996	0.70817	0.6735	6.3941	1
0	98	0.029733	0.6365	0.3471	5.211	2.6236	0.64733	0.3609	5.5733	1
0	99	0.028671	0.0227	0.3105	5.581	1.7356	0.37247	0.0505	9.3695	1
0	100	0.013911	0.2401	0.2877	4.7738	2.946	0.90887	0.6579	15.8751	0.99
0	101	0.005841	0.2115	0.5137	4.8694	4.0748	0.21263	0.2721	6.6183	0.92
0	102	0.027147	0.6163	0.8217	4.1578	1.726	0.48047	0.7199	1.8151	1
0	103	0.014565	0.2099	0.6965	4.1038	1.442	0.81455	0.9143	12.4513	0.73
0	104	0.027357	0.4625	0.2917	4.105	3.7612	0.33125	0.9961	10.2815	1
0	105	0.027411	0.4223	0.4931	4.8366	3.1604	0.29345	0.7195	3.3351	0.99
0	106	0.008745	0.6577	0.5741	4.8986	1.314	0.10409	0.1847	5.3909	0
0	107	0.000531	0.6367	0.9447	4.9582	4.09	0.53537	0.9383	10.1295	0
0	108	0.015285	0.7581	0.6383	4.8926	1.71	0.77675	0.4117	13.6711	0.39
0	109	0.012333	0.5315	0.6815	5.5202	3.9308	0.72023	0.2371	16.7339	1
0	110	0.013197	0.0403	0.0673	5.409	1.2276	0.25637	0.1557	6.8995	0.87
0	111	0.004329	0.3347	0.3633	4.0706	4.9156	0.17015	0.6339	16.5591	0.91
0	112	0.019713	0.4347	0.5949	4.2266	1.6444	0.53915	0.0903	11.9459	0.84
0	113	0.013941	0.4439	0.1823	5.7342	3.6732	0.87665	0.6739	19.7511	1
0	114	0.006345	0.7937	0.6607	4.5862	4.914	0.84173	0.2471	10.6425	0.94
0	115	0.024207	0.5365	0.9667	4.5906	4.5204	0.72383	0.9113	11.2163	1
0	116	0.016257	0.4725	0.2301	4.049	1.21	0.47867	0.3035	2.2521	0.78
0	117	0.027891	0.6161	0.8765	5.955	1.6316	0.09707	0.7207	17.8853	1
0	118	0.003513	0.8231	0.6779	5.0634	2.9308	0.94739	0.0519	12.0865	0
0	119	0.019983	0.1303	0.2319	5.245	4.3876	0.07655	0.8909	1.1121	1
0	120	0.020265	0.2043	0.5647	5.725	2.8812	0.85487	0.2779	14.9783	1
0	121	0.029463	0.6787	0.5779	4.1426	1.3964	0.84479	0.8093	18.4971	0.56
0	122	0.004059	0.4033	0.6167	5.2398	2.1452	0.27671	0.0143	7.2757	0.02
0	123	0.024027	0.9949	0.7131	5.529	4.9596	0.09959	0.2027	18.2387	1
0	124	0.014229	0.2151	0.8317	4.2538	1.6108	0.77315	0.2463	7.8419	0.92
0	125	0.011553	0.2775	0.3687	5.0738	1.4908	0.82157	0.1539	2.8981	0.75
0	126	0.019653	0.9157	0.8815	4.3214	4.6644	0.20525	0.7901	10.0649	1
0	127	0.014277	0.2281	0.4375	5.3038	3.862	0.53645	0.1929	18.1931	1
0	128	0.012999	0.0225	0.0767	5.7114	1.8628	0.73319	0.4025	10.7527	0.98
0	129	0.021507	0.4763	0.0773	4.4914	3.81	0.31307	0.3111	9.8749	1
0	130	0.028761	0.7729	0.3181	4.455	4.6756	0.48191	0.5123	7.1769	1
0	131	0.007983	0.7447	0.4951	5.4838	1.6812	0.54095	0.1411	16.6579	0.01
0	132	0.002169	0.6375	0.7943	4.9114	4.8692	0.57587	0.3977	10.4487	0.93
0	133	0.006051	0.1887	0.0641	4.605	1.4892	0.53303	0.2451	13.7243	0.36
0	134	0.011193	0.0523	0.0735	5.4286	1.4012	0.05099	0.8295	12.0675	0.64
0	135	0.017523	0.9281	0.2341	5.6222	4.6212	0.27059	0.8009	11.0263	1
0	136	0.001431	0.7773	0.5087	4.0614	2.374	0.25511	0.9751	2.6473	0
0	137	0.009453	0.0591	0.1473	5.0342	3.8596	0.58037	0.6233	17.1519	1
0	138	0.023631	0.5885	0.7299	5.3894	3.562	0.89915	0.6245	13.4545	1
0	139	0.013653	0.2479	0.4489	4.2502	2.866	0.29723	0.3763	10.1827	0.97
0	140	0.001989	0.8019	0.3709	4.2978	2.5684	0.19985	0.3369	3.3161	0
0	141	0.006315	0.6683	0.1205	4.5782	3.1332	0.60107	0.0177	5.6113	0.98
0	142	0.026823	0.5711	0.4879	5.7034	3.6572	0.16421	0.5699	7.1199	0.98
0	143	0.018255	0.2765	0.8363	5.4778	3.2884	0.67235	0.4175	8.8565	1
0	144	0.022593	0.9691	0.7777	5.7202	1.4836	0.90149	0.7975	16.1829	0.99
0	145	0.020403	0.7189	0.1215	4.7734	1.4684	0.31865	0.6825	19.9753	0.99
0	146	0.003561	0.5207	0.3689	4.7746	4.2436	0.07619	0.7995	10.6007	0.73
0	147	0.023937	0.4587	0.9159	5.8006	4.7444	0.92759	0.0309	4.1027	1
0	148	0.011319	0.8533	0.2515	5.8022	3.2556	0.87683	0.7801	1.1463	0.99
0	149	0.016491	0.5887	0.6951	5.8242	2.3772	0.53123	0.2339	12.4399	0.98
0	150	0.008289	0.5995	0.6017	4.5942	4.2828	0.76667	0.9575	4.6499	0.93
0	151	0.018729	0.5203	0.0887	5.6366	1.6708	0.62051	0.5027	16.1525	1
0	152	0.008595	0.5665	0.5693	4.1614	4.2668	0.23117	0.7817	3.0311	0.82
0	153	0.005619	0.0231	0.7337	4.2074	4.106	0.75227	0.4607	18.5731	0.98
0	154	0.020997	0.6759	0.4381	5.0314	3.1316	0.10967	0.4461	4.5701	0.96
0	155	0.019605	0.0387	0.1499	5.607	2.1236	0.61241	0.5527	3.3237	1
0	156	0.018939	0.9125	0.0349	5.7418	1.9684	0.71159	0.7021	11.4139	1
0	157	0.009297	0.8895	0.1123	4.2142	2.3068	0.41315	0.3133	4.9311	0.94
0	158	0.012465	0.2343	0.3627	5.9094	3.3092	0.15431	0.9665	5.3073	1
0	159	0.005745	0.8835	0.1155	4.017	2.4484	0.54113	0.4209	15.0505	0.92
0	160	0.019677	0.0683	0.5441	5.6434	4.2596	0.27923	0.7965	9.4569	1
0	161	0.007947	0.8005	0.7005	4.3898	4.1836	0.29075	0.4263	11.7749	0.93
0	162	0.001779	0.6167	0.0961	5.2894	2.2212	0.35501	0.3637	5.4745	0.1
0	163	0.009033	0.0375	0.3089	5.1522	1.026	0.06089	0.4185	10.3119	0.2
0	164	0.003297	0.7863	0.2725	4.3358	4.4156	0.11651	0.3657	3.0843	0.8
0	165	0.003327	0.9025	0.4003	4.3994	4.374	0.84299	0.0897	6.4359	0.22
0	166	0.022887	0.4691	0.7453	4.9762	1.3252	0.24215	0.0811	10.8173	0.94
0	167	0.014751	0.8007	0.7455	5.1358	3.6444	0.46949	0.6755	18.4629	1
0	168	0.024087	0.7977	0.5261	4.7274	3.0932	0.61979	0.6193	9.7077	0.86
0	169	0.006723	0.0745	0.4295	4.165	1.1676	0.09221	0.7303	17.2241	0
0	170	0.005883	0.6827	0.3629	4.0438	3.0516	0.41207	0.0203	3.3199	0.56
0	171	0.010911	0.2489	0.3217	5.3142	3.9044	0.54599	0.8921	4.9045	1
0	172	0.005025	0.2625	0.6409	5.1498	3.9316	0.66317	0.4459	7.9901	0.95
0	173	0.001563	0.6309	0.4177	4.5682	4.67	0.37535	0.3093	18.2311	0.06
0	174	0.000603	0.1923	0.9035	5.1754	4.8676	0.63635	0.0249	5.7975	0
0	175	0.028305	0.2213	0.3821	4.777	2.566	0.21389	0.4615	11.1859	0.99
0	176	0.005199	0.3753	0.6991	5.6982	3.7436	0.06539	0.1531	17.6383	0.83
0	177	0.029253	0.4703	0.0997	5.885	4.9004	0.66227	0.0473	19.7017	1
0	178	0.006327	0.4939	0.2273	5.5198	1.434	0.72977	0.6439	16.1449	0.54
0	179	0.026913	0.9253	0.9069	4.1962	3.2236	0.13685	0.7709	10.5247	1
0	180	0.022383	0.3125	0.6297	5.7318	2.0556	0.54401	0.9855	1.3325	0.21
0	181	0.010593	0.1929	0.7941	4.2286	1.6548	0.55859	0.0183	5.0945	0.78
0	182	0.015783	0.0507	0.6031	5.9626	4.5076	0.10787	0.0055	8.1915	1
0	183	0.019701	0.9215	0.4709	4.3266	1.2908	0.79025	0.6953	9.0617	0
0	184	0.027171	0.7429	0.4713	5.8382	1.522	0.60395	0.7521	5.6911	0.77
0	185	0.001503	0.4169	0.5243	5.9998	3.0052	0.42107	0.1947	15.8599	0
0	186	0.012099	0.9565	0.0615	5.1626	1.7324	0.32441	0.3817	6.0939	1
0	187	0.025257	0.1651	0.9579	5.6534	4.73	0.13541	0.6137	6.6791	1
0	188	0.028107	0.1813	0.6337	4.8858	3.9484	0.92399	0.9945	12.7629	1
0	189	0.008835	0.2675	0.1259	4.5146	3.1532	0.57425	0.5813	14.4729	0.99
0	190	0.007137	0.6459	0.6877	5.8682	4.2852	0.85757	0.2067	7.8875	0.99
0	191	0.017289	0.0421	0.8103	5.957	3.6548	0.36419	0.6633	15.6319	1
0	192	0.024945	0.2613	0.5617	5.615	4.6044	0.44699	0.2899	12.4437	1
0	193	0.006441	0.5951	0.9717	5.6586	2.0716	0.90761	0.0547	10.8287	0.94
0	194	0.014505	0.1063	0.9205	4.539	2.6468	0.45059	0.6885	4.5663	0.98
0	195	0.019557	0.0833	0.9097	5.089	1.1404	0.30389	0.6707	11.8433	0.92
0	196	0.024891	0.0733	0.5039	4.9786	1.3236	0.89753	0.0905	9.8331	0.97
0	197	0.020319	0.0139	0.5735	4.2158	1.8276	0.62879	0.4249	11.9801	0.99
0	198	0.000507	0.4715	0.7661	5.6034	4.5372	0.05675	0.8149	18.1133	0
0	199	0.005733	0.4575	0.7877	5.393	1.8876	0.47633	0.8719	14.6515	0.58
0	200	0.014463	0.1733	0.0847	5.0434	2.2636	0.25583	0.0199	10.4981	1
0	201	0.029943	0.1531	0.1961	5.0122	1.53	0.88061	0.7623	4.3383	0.99
0	202	0.022329	0.6203	0.6621	5.4158	1.7076	0.77297	0.0815	3.2211	0.93
0	203	0.024897	0.0659	0.1185	5.9362	1.7124	0.87377	0.0059	5.0337	1
0	204	0.003255	0.4567	0.2283	4.441	2.2604	0.77369	0.3749	5.3529	0.22
0	205	0.024699	0.7105	0.2595	4.8602	3.554	0.51305	0.2527	7.2909	1
0	206	0.010263	0.7405	0.9185	5.4258	1.3644	0.26879	0.3983	12.8427	0.95
0	207	0.013647	0.4147	0.3007	4.139	2.59	0.90275	0.1271	16.9923	0.99
0	208	0.025437	0.9159	0.6527	4.2994	2.414	0.94829	0.4115	4.4257	0.96
0	209	0.015663	0.3065	0.7121	4.3726	1.6284	0.73769	0.9591	3.4643	0.66
0	210	0.029895	0.8519	0.2681	4.7066	4.9732	0.93425	0.8837	7.4809	1
0	211	0.011217	0.6929	0.2661	5.6902	4.954	0.73373	0.4751	2.8183	1
0	212	0.003645	0.3203	0.5623	4.8266	2.9004	0.42197	0.7047	1.1653	0.15
0	213	0.007737	0.6761	0.1413	4.7102	4.9588	0.94145	0.4075	18.0791	1
0	214	0.019023	0.1757	0.4057	5.6578	1.7636	0.72419	0.4749	2.7537	0.98
0	215	0.001245	0.2481	0.8375	4.329	2.3876	0.92957	0.3939	7.0781	0
0	216	0.017319	0.1285	0.9115	4.4578	1.5748	0.40289	0.3583	8.0585	0.94
0	217	0.028227	0.0045	0.9193	4.6974	1.506	0.16781	0.9277	15.5255	0.96
0	218	0.020421	0.5537	0.6841	5.6754	3.77	0.58559	0.7119	16.6655	1
0	219	0.018717	0.3453	0.4877	4.2242	4.1524	0.26465	0.4377	8.2865	1
0	220	0.014127	0.7949	0.3939	5.6318	3.6948	0.31415	0.8065	16.1791	0.97
0	221	0.010497	0.2435	0.7383	5.5882	2.6988	0.37787	0.5157	6.8729	0.98
0	222	0.003345	0.0843	0.3693	5.6454	4.4932	0.88853	0.9613	14.5109	0.97
0	223	0.025551	0.2357	0.9207	5.9074	4.1676	0.53555	0.8857	18.8391	1
0	224	0.004281	0.4889	0.2087	5.6786	1.7956	0.76955	0.8479	6.5385	0.52
0	225	0.027567	0.6165	0.2565	4.243	1.4244	0.63041	0.0303	7.4885	0.99
0	226	0.010383	0.2119	0.2603	5.7106	4.7076	0.05549	0.0471	2.0241	1
0	227	0.012969	0.4679	0.7559	4.5318	2.3356	0.55643	0.1227	1.1577	0.97
0	228	0.029103	0.3311	0.6073	5.0094	1.5716	0.39443	0.0653	6.7551	0.98
0	229	0.021705	0.9487	0.5263	4.967	2.9244	0.67181	0.5087	2.1191	0
0	230	0.007185	0.3093	0.2205	4.897	4.1572	0.59819	0.2571	6.7703	0.99
0	231	0.029139	0.8347	0.6659	4.763	4.5852	0.46733	0.9321	7.9255	1
0	232	0.029613	0.7145	0.4435	5.1014	1.1484	0.84605	0.3581	4.4143	0.59
0	233	0.014361	0.3813	0.6547	5.893	1.1436	0.41495	0.1439	7.7165	0.74
0	234	0.027237	0.4359	0.1891	5.9822	2.0188	0.37895	0.7175	19.0329	1
0	235	0.008349	0.4667	0.7765	4.869	3.498	0.86531	0.9887	6.1091	0.93
0	236	0.028659	0.0407	0.5461	5.2566	2.01	0.80483	0.0561	1.7619	1
0	237	0.029517	0.3073	0.2435	4.2634	1.29	0.06431	0.3949	14.4995	0.82
0	238	0.012219	0.5799	0.9515	4.711	4.3044	0.52385	0.8043	17.6877	1
0	239	0.008547	0.1417	0.2009	4.3054	3.0668	0.74885	0.7785	13.3139	0.99
0	240	0.021147	0.8389	0.4565	5.9678	3.838	0.62429	0.9081	13.1391	0.97
0	241	0.009915	0.8761	0.8255	5.2626	1.3924	0.14189	0.1827	17.4521	0.82
0	242	0.019071	0.4403	0.7435	4.781	3.4172	0.54797	0.1591	16.1753	1
0	243	0.013749	0.0765	0.3833	4.2278	3.1676	0.61691	0.0123	2.5257	0.99
0	244	0.007623	0.4655	0.8681	4.0454	3.9028	0.84155	0.9933	11.1479	0.99
0	245	0.009063	0.3933	0.5453	5.2222	1.1852	0.56705	0.2171	18.1019	0.02
0	246	0.028095	0.8927	0.6193	4.311	3.9548	0.19931	0.2343	18.0069	0.97
0	247	2.7e-05	0.3337	0.3199	5.4366	2.986	0.21659	0.1841	13.1239	0
0	248	0.011835	0.7903	0.0537	5.809	4.8188	0.16691	0.3185	7.8305	1
0	249	0.009141	0.7307	0.5979	5.081	3.2724	0.93281	0.7485	3.2059	0.72
0	250	0.007875	0.0313	0.3399	5.033	1.9444	0.48731	0.5137	19.0785	0.86
0	251	0.003495	0.8225	0.8905	5.549	1.9196	0.33827	0.8389	12.6451	0.46
0	252	0.001659	0.1413	0.7013	5.655	4.942	0.83813	0.3053	9.0275	0.75
0	253	0.015177	0.8681	0.1537	5.673	1.9508	0.79637	0.7009	2.4003	1
0	254	0.020349	0.2211	0.7059	5.7026	3.7588	0.88547	0.2445	5.3111	1
0	255	0.009357	0.7141	0.0775	5.275	4.8404	0.75047	0.4423	6.9451	1
0	256	0.019887	0.0079	0.3407	4.0302	4.5068	0.12929	0.2679	16.3197	1
0	257	0.025743	0.9803	0.5191	4.8526	2.8556	0.63005	0.2657	16.1563	0
0	258	0.022965	0.0819	0.6495	5.1282	1.5836	0.80213	0.9233	2.8297	0.95
0	259	0.028311	0.3307	0.2745	5.2986	4.5708	0.51953	0.1035	3.9127	1
0	260	0.012675	0.9909	0.1483	5.3226	4.6828	0.50603	0.0337	2.2749	1
0	261	0.015483	0.2087	0.9807	4.817	3.8644	0.68261	0.3413	7.1845	1
0	262	0.028485	0.7885	0.9889	5.5862	1.8564	0.61349	0.4481	17.9043	1
0	263	0.022107	0.0529	0.3661	5.9022	1.8252	0.11705	0.2181	13.3595	0.96
0	264	0.026565	0.8283	0.0031	5.681	1.9452	0.85973	0.8677	14.6971	1
0	265	0.005421	0.0909	0.1755	5.7682	1.3884	0.55355	0.0583	17.4559	0.21
0	266	0.003825	0.5215	0.8935	4.461	1.3276	0.76487	0.4883	8.3587	0
0	267	0.004881	0.5057	0.4813	5.5314	1.1748	0.05027	0.0881	11.2125	0
0	268	0.015489	0.3573	0.7567	5.8366	2.6396	0.83075	0.3495	7.6975	0.99
0	269	0.006039	0.6851	0.9535	5.2366	3.0276	0.05747	0.0549	13.9523	0.92
0	270	0.000663	0.7647	0.1213	4.275	4.9796	0.82985	0.6435	18.1779	0.14
0	271	0.006267	0.3317	0.6469	4.1258	2.3788	0.50171	0.1157	18.5883	0.49
0	272	0.015477	0.9617	0.3243	5.161	2.226	0.63527	0.2551	14.1537	0.93
0	273	0.006123	0.1533	0.3055	4.0118	1.57	0.60755	0.6659	4.5245	0.07
0	274	0.004995	0.4533	0.9553	4.9502	4.7796	0.62807	0.5167	16.6237	1
0	275	0.023223	0.4447	0.8389	5.7922	1.9524	0.80951	0.0367	15.9093	1
0	276	0.004869	0.9151	0.2129	4.9042	2.3924	0.91229	0.0873	8.4689	0.85
0	277	0.020541	0.1301	0.5119	4.8962	1.9956	0.19463	0.9913	5.3149	0.68
0	278	0.005583	0.6283	0.5755	4.0138	1.5964	0.79799	0.9393	3.8671	0
0	279	0.028587	0.6617	0.2753	5.1234	1.59	0.11165	0.3411	12.1587	0.98
0	280	0.015297	0.4143	0.7893	5.5666	1.8724	0.72887	0.8797	10.7337	0.98
0	281	0.000777	0.5271	0.3367	5.0886	1.9204	0.42179	0.4977	11.5507	0
0	282	0.029439	0.2681	0.7971	5.0646	4.322	0.16367	0.2561	9.6051	1
0	283	0.012645	0.1051	0.8739	4.0878	4.8596	0.41891	0.6177	5.0565	1
0	284	0.021315	0.9911	0.7095	4.8242	1.7892	0.80033	0.0927	13.1581	0.93
0	285	0.018087	0.6515	0.0945	4.5122	1.366	0.65597	0.0791	6.8387	0.98
0	286	0.025599	0.4541	0.1649	5.6778	3.7596	0.68117	0.3331	12.7211	1
0	287	0.004425	0.9243	0.9521	5.7066	4.386	0.10589	0.3807	4.6385	0.99
0	288	0.028011	0.0499	0.2357	5.9462	1.2932	0.11273	0.1203	10.8705	0.98
0	289	0.012165	0.0311	0.0309	5.4418	4.498	0.70745	0.3173	9.6127	1
0	290	0.017193	0.7073	0.6627	5.6522	4.014	0.20993	0.4415	2.4193	1
0	291	0.009087	0.2547	0.5195	5.0054	4.6124	0.67397	0.2935	1.5985	0.98
0	292	0.013497	0.1699	0.1225	5.3022	2.6956	0.91823	0.3533	2.8487	1
0	293	0.022995	0.9095	0.2885	4.8538	1.0452	0.86153	0.2255	7.4543	0.85
0	294	0.010809	0.1739	0.2861	5.4042	4.0196	0.82085	0.2611	5.8507	1
0	295	0.017685	0.7665	0.6745	5.6682	4.3684	0.42125	0.0817	12.8275	1
0	296	0.029985	0.7025	0.6773	4.8422	4.2092	0.17861	0.2441	11.4443	1
