simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0.0	116.0	0.027891	0.6161	0.8765	5.955	1.6316	0.09707	0.7207	17.8853	1.0
0.0	117.0	0.003513	0.8231	0.6779	5.0634	2.9308	0.94739	0.0519	12.0865	0.0
0.0	118.0	0.019983	0.1303	0.2319	5.245	4.3876	0.07655	0.8909	1.1121	1.0
0.0	119.0	0.020265	0.2043	0.5647	5.725	2.8812	0.85487	0.2779	14.9783	1.0
0.0	120.0	0.029463	0.6787	0.5779	4.1426	1.3964	0.84479	0.8093	18.4971	0.56
0.0	121.0	0.004059	0.4033	0.6167	5.2398	2.1452	0.27671	0.0143	7.2757	0.02
0.0	122.0	0.024027	0.9949	0.7131	5.529	4.9596	0.09959	0.2027	18.2387	1.0
0.0	123.0	0.014229	0.2151	0.8317	4.2538	1.6108	0.77315	0.2463	7.8419	0.92
0.0	124.0	0.011553	0.2775	0.3687	5.0738	1.4908	0.82157	0.1539	2.8981	0.75
0.0	125.0	0.019653	0.9157	0.8815	4.3214	4.6644	0.20525	0.7901	10.0649	1.0
0.0	126.0	0.014277	0.2281	0.4375	5.3038	3.862	0.53645	0.1929	18.1931	1.0
0.0	127.0	0.012999	0.0225	0.0767	5.7114	1.8628	0.73319	0.4025	10.7527	0.98
0.0	128.0	0.021507	0.4763	0.0773	4.4914	3.81	0.31307	0.3111	9.8749	1.0
0.0	129.0	0.028761	0.7729	0.3181	4.455	4.6756	0.48191	0.5123	7.1769	1.0
0.0	130.0	0.007983	0.7447	0.4951	5.4838	1.6812	0.54095	0.1411	16.6579	0.01
0.0	131.0	0.002169	0.6375	0.7943	4.9114	4.8692	0.57587	0.3977	10.4487	0.93
0.0	132.0	0.006051	0.1887	0.0641	4.605	1.4892	0.53303	0.2451	13.7243	0.36
0.0	133.0	0.011193	0.0523	0.0735	5.4286	1.4012	0.05099	0.8295	12.0675	0.64
0.0	134.0	0.017523	0.9281	0.2341	5.6222	4.6212	0.27059	0.8009	11.0263	1.0
0.0	135.0	0.001431	0.7773	0.5087	4.0614	2.374	0.25511	0.9751	2.6473	0.0
0.0	136.0	0.009453	0.0591	0.1473	5.0342	3.8596	0.58037	0.6233	17.1519	1.0
0.0	137.0	0.023631	0.5885	0.7299	5.3894	3.562	0.89915	0.6245	13.4545	1.0
0.0	138.0	0.013653	0.2479	0.4489	4.2502	2.866	0.29723	0.3763	10.1827	0.97
0.0	139.0	0.001989	0.8019	0.3709	4.2978	2.5684	0.19985	0.3369	3.3161	0.0
0.0	140.0	0.006315	0.6683	0.1205	4.5782	3.1332	0.60107	0.0177	5.6113	0.98
0.0	141.0	0.026823	0.5711	0.4879	5.7034	3.6572	0.16421	0.5699	7.1199	0.98
0.0	142.0	0.018255	0.2765	0.8363	5.4778	3.2884	0.67235	0.4175	8.8565	1.0
0.0	143.0	0.022593	0.9691	0.7777	5.7202	1.4836	0.90149	0.7975	16.1829	0.99
0.0	144.0	0.020403	0.7189	0.1215	4.7734	1.4684	0.31865	0.6825	19.9753	0.99
0.0	145.0	0.003561	0.5207	0.3689	4.7746	4.2436	0.07619	0.7995	10.6007	0.73
0.0	146.0	0.023937	0.4587	0.9159	5.8006	4.7444	0.92759	0.0309	4.1027	1.0
0.0	147.0	0.011319	0.8533	0.2515	5.8022	3.2556	0.87683	0.7801	1.1463	0.99
0.0	148.0	0.016491	0.5887	0.6951	5.8242	2.3772	0.53123	0.2339	12.4399	0.98
0.0	149.0	0.008289	0.5995	0.6017	4.5942	4.2828	0.76667	0.9575	4.6499	0.93
0.0	150.0	0.018729	0.5203	0.0887	5.6366	1.6708	0.62051	0.5027	16.1525	1.0
0.0	151.0	0.008595	0.5665	0.5693	4.1614	4.2668	0.23117	0.7817	3.0311	0.82
