ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
establishment	4	10	-1.0355318784713745	0.00709456365148478	0.06752830461247285
establishment	4	11	-1.029874324798584	0.007088862625365065	0.06739733332034473
establishment	4	12	-1.0255918502807617	0.007264283855198834	0.06745010541404609
establishment	4	13	-1.0324194431304932	0.007136938695144625	0.06759874131452669
establishment	4	14	-1.0494742393493652	0.00829982156973998	0.06774866964161518
establishment	4	15	-1.049166202545166	0.008095007727109464	0.0675065569654331
establishment	4	16	-1.0464694499969482	0.008725453399197643	0.06767582108891934
establishment	4	17	-1.0346078872680664	0.00842525603052725	0.06745849699633691
establishment	4	18	-1.0379939079284668	0.007974809092292123	0.06736085481479255
establishment	4	19	-1.0507386922836304	0.009157987559324392	0.06765825652101494
establishment	4	20	-1.0386300086975098	0.008789389362100823	0.06740282838761091
establishment	4	21	-1.0513160228729248	0.009695438190817298	0.06778493047324752
establishment	4	22	-1.059899926185608	0.009179671116315798	0.06749677800170946
establishment	4	23	-1.0559407472610474	0.010001502332914547	0.06776235351791611
establishment	4	24	-1.0461705923080444	0.010772251364763128	0.06763341579627748
establishment	4	25	-1.062102198600769	0.009877698666293032	0.06783420743425288
establishment	4	26	-1.0571352243423462	0.009461840538912834	0.06741871126271727
establishment	4	27	-1.0670366287231445	0.009561667671171602	0.06746607230165295
establishment	4	28	-1.0577970743179321	0.01090123339570563	0.06771254727907121
establishment	4	29	-1.0568530559539795	0.009702538219046122	0.06753100051792703
establishment	5	0	-0.8360621929168701	0.016902349438242807	0.07449816482552558
establishment	5	1	-0.9241899251937866	0.003967578442959106	0.06947573545793567
establishment	5	2	-0.9657689929008484	0.00436380487934145	0.06792313361639171
establishment	5	3	-0.9926409125328064	0.004095791525654614	0.06716137519956572
establishment	5	4	-1.0073962211608887	0.004444705658846333	0.06670708329339958
establishment	5	5	-1.014838695526123	0.004981841711264128	0.06640207216114298
establishment	5	6	-1.0212106704711914	0.006154839093165474	0.0662776615796829
establishment	5	7	-1.0381301641464233	0.006340638851486895	0.06638231129626326
establishment	5	8	-1.0446594953536987	0.006207543891556743	0.06621572803209826
establishment	5	9	-1.0379117727279663	0.006736646755726373	0.0664212234310961
establishment	5	10	-1.053000807762146	0.006524500930039155	0.0661422354160374
establishment	5	11	-1.0438735485076904	0.006998498423472805	0.06616773929971477
establishment	5	12	-1.0386008024215698	0.0069550095774415606	0.06621946975181325
establishment	5	13	-1.0526213645935059	0.007270842312944594	0.06638751599549983
establishment	5	14	-1.0637342929840088	0.007811516087167063	0.06625638853682728
establishment	5	15	-1.059985637664795	0.00719719204879339	0.06642711211958563
establishment	5	16	-1.0704160928726196	0.008399311967889378	0.06650398096236647
establishment	5	17	-1.0663470029830933	0.00908144770820821	0.06653115755404736
establishment	5	18	-1.0659493207931519	0.008715420486703205	0.06646011736047266
establishment	5	19	-1.0698920488357544	0.00957492514704994	0.06675487293852837
establishment	5	20	-1.0666985511779785	0.009918939669363412	0.06657973635399855
establishment	5	21	-1.0727981328964233	0.00925761003532602	0.06644202843816176
establishment	5	22	-1.0620434284210205	0.009776827257601145	0.06650311495633003
establishment	5	23	-1.0630897283554077	0.009833957003399478	0.06678690471812772
establishment	5	24	-1.0690011978149414	0.009956951803357721	0.06676394586771038
establishment	5	25	-1.0639779567718506	0.008811467124420278	0.06639240722929442
establishment	5	26	-1.0618475675582886	0.010224448830311933	0.0667254811566239
establishment	5	27	-1.0734754800796509	0.009509003088667351	0.06659169604576191
establishment	5	28	-1.078203558921814	0.010775335340861966	0.06661629231825582
establishment	5	29	-1.0820149183273315	0.010240166088460718	0.06654024868656687
establishment	6	0	-0.8457334637641907	0.016706034661666327	0.0729864046602291
establishment	6	1	-0.941118597984314	0.004373474423474515	0.06831581068050141
establishment	6	2	-0.98443603515625	0.0043045423757207164	0.06677347166986182
establishment	6	3	-1.0036823749542236	0.004285157376048298	0.0658372178254586
establishment	6	4	-1.0256896018981934	0.005258733081639944	0.06545248799799738
