ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
duration	8	4	-1.6728301048278809	0.05442461360576236	0.06834222922634683
duration	8	5	-1.6846320629119873	0.05451931443405531	0.06823345105829232
duration	8	6	-1.701965570449829	0.05483467427638284	0.06823989128818993
duration	8	7	-1.7078889608383179	0.05493603394066672	0.0682421013807228
duration	8	8	-1.7125099897384644	0.05501783266557471	0.06825384229078944
duration	8	9	-1.7174755334854126	0.05531543109194821	0.06830684453638781
duration	8	10	-1.7163411378860474	0.05546811942863672	0.0683749899979034
duration	8	11	-1.7319499254226685	0.055632807216569644	0.06841202055101567
duration	8	12	-1.7204586267471313	0.0553782519204858	0.06831383132263667
duration	8	13	-1.726364016532898	0.055551627465917575	0.06844339468779403
duration	8	14	-1.7291299104690552	0.05573463322594428	0.06854615480015652
duration	8	15	-1.7250686883926392	0.05595586405464725	0.06863437971765164
duration	8	16	-1.7275160551071167	0.05588940889324091	0.06857709963582038
duration	8	17	-1.7260972261428833	0.055873339636543826	0.06855439314790299
duration	8	18	-1.7286407947540283	0.05611487285604616	0.0687589681752187
duration	8	19	-1.726750373840332	0.05608987153296369	0.06870836843810714
duration	8	20	-1.733388900756836	0.05602341925684304	0.06865921134999393
duration	8	21	-1.739735722541809	0.05633327693676265	0.06891164906655492
duration	8	22	-1.7292476892471313	0.05626087234546593	0.06882805580591525
duration	8	23	-1.734616994857788	0.05651708642706297	0.06901696323569184
duration	8	24	-1.7451121807098389	0.05630322875067966	0.06886667811100448
duration	8	25	-1.7285301685333252	0.05653462948501543	0.06906422597012764
duration	8	26	-1.7282365560531616	0.05660557437840812	0.06907638902818185
duration	8	27	-1.7340350151062012	0.056392890652388596	0.06891270603377564
duration	8	28	-1.7366076707839966	0.0567971530690214	0.069155551689031
duration	8	29	-1.7444229125976562	0.05639509661040996	0.06885521692570432
duration	9	0	-1.5379751920700073	0.05268510293145255	0.0715670668805658
duration	9	1	-1.6275906562805176	0.05368360820846887	0.06949044343666988
duration	9	2	-1.6753714084625244	0.054083840615990066	0.06869778202651224
duration	9	3	-1.679330587387085	0.054454293581416555	0.06832496398279296
duration	9	4	-1.7163113355636597	0.05454740183014792	0.0681044996619412
duration	9	5	-1.706390380859375	0.05453541285287953	0.06793235581267226
duration	9	6	-1.7261924743652344	0.05494885507343553	0.06797558352955248
duration	9	7	-1.7463955879211426	0.0552545369919444	0.0680003154721056
duration	9	8	-1.7399606704711914	0.05525536249575857	0.06796783739530499
duration	9	9	-1.7552229166030884	0.05563047420468579	0.06811807516460176
duration	9	10	-1.7327988147735596	0.055507709474062535	0.06807259828187677
duration	9	11	-1.7405438423156738	0.055552525800717706	0.06807015912529445
duration	9	12	-1.7457736730575562	0.05572851006797079	0.06814134677372567
duration	9	13	-1.7436579465866089	0.05564028499996603	0.06806812151031894
duration	9	14	-1.7451450824737549	0.05570419651058265	0.06807181960494402
duration	9	15	-1.74462890625	0.05604462967408048	0.06829542752528703
duration	9	16	-1.7492438554763794	0.05596041107127964	0.06826352020587606
duration	9	17	-1.7528899908065796	0.05623062173379491	0.06841461938299458
duration	9	18	-1.7478058338165283	0.056106852314794835	0.06836557943795782
duration	9	19	-1.75438392162323	0.05618984752069839	0.06834992177816882
duration	9	20	-1.749582052230835	0.05610785723659644	0.06832363324243186
duration	9	21	-1.7526493072509766	0.05633789116277203	0.06850402711415643
duration	9	22	-1.7534167766571045	0.0565066423730488	0.06858037109774566
duration	9	23	-1.754855751991272	0.05628971255030782	0.06845319519962252
duration	9	24	-1.753314733505249	0.05640355562291565	0.06850697857943545
duration	9	25	-1.7587862014770508	0.056540297049239505	0.068580970478961
duration	9	26	-1.761387586593628	0.056670158881997335	0.06872664579265203
duration	9	27	-1.7577815055847168	0.05655491090513602	0.068616411933888
duration	9	28	-1.7573543787002563	0.056962888621333724	0.06890107390511171
duration	9	29	-1.762620210647583	0.056936783102762005	0.06888346770292636
duration	10	0	-1.5535145998001099	0.05304269330799244	0.07138453510159783
duration	10	1	-1.6403473615646362	0.05397978185695045	0.06937720554133844
duration	10	2	-1.690639615058899	0.054467728376795733	0.06868547446777513
duration	10	3	-1.6947098970413208	0.05458531522644916	0.06828158561570778
duration	10	4	-1.7120682001113892	0.05485240280726874	0.06810753540056733
duration	10	5	-1.7209526300430298	0.055019891612984234	0.06803623123473986
duration	10	6	-1.745299220085144	0.05507362404534066	0.06790882575711334
duration	10	7	-1.7509703636169434	0.05538584192296755	0.0679738489678537
duration	10	8	-1.7684348821640015	0.05559243965663541	0.06801467799501876
duration	10	9	-1.755680799484253	0.05572854372017342	0.0680437713893232
duration	10	10	-1.771499514579773	0.05587760485105758	0.06806710984858547
duration	10	11	-1.7738773822784424	0.05587016046589827	0.0680938506881052
duration	10	12	-1.7630430459976196	0.05592734010948913	0.06815477948041303
duration	10	13	-1.7628039121627808	0.05604012457700059	0.06821832246158836
duration	10	14	-1.7661409378051758	0.056158104384701805	0.06829090737552275
duration	10	15	-1.7749682664871216	0.0565280045173645	0.06846404460929219
duration	10	16	-1.7676218748092651	0.056615932189036024	0.0685111398854035
duration	10	17	-1.770102858543396	0.05656788411356376	0.06847907227800182
duration	10	18	-1.7677552700042725	0.05633015501802093	0.068372902522665
duration	10	19	-1.772627592086792	0.056679612990020264	0.06861324976235461
duration	10	20	-1.7705106735229492	0.056905244713102536	0.0687237859762643
