municipality	alphaRest	rmse	rank
CO23001	0.004285714285714285	0.5569081127629518	1
CO23068	0.004897959183673469	0.5569081127629518	1
CO23162	0.003673469387755102	0.5569081127629518	1
CO23182	0.003673469387755102	0.5569081127629518	1
CO23189	0.003673469387755102	0.5569081127629518	1
CO23417	0.003673469387755102	0.5569081127629518	1
CO23466	0.004285714285714285	0.5569081127629518	1
CO23555	0.004897959183673469	0.5569081127629518	1
CO23570	0.005510204081632653	0.5569081127629518	1
CO23580	0.003673469387755102	0.5569081127629518	1
CO23660	0.003673469387755102	0.5569081127629518	1
CO23670	0.003673469387755102	0.5569081127629518	1
CO23672	0.003673469387755102	0.5569081127629518	1
CO23678	0.003673469387755102	0.5569081127629518	1
CO23686	0.004285714285714285	0.5569081127629518	1
CO23807	0.003061224489795918	0.5569081127629518	1
CO23815	0.004285714285714285	0.5569081127629518	1
CO23855	0.005510204081632653	0.5569081127629518	1
CO25290	0.007959183673469388	0.5569081127629518	1
CO25307	0.007959183673469388	0.5569081127629518	1
CO25320	0.012857142857142857	0.5569081127629518	1
CO25386	0.022040816326530613	0.5569081127629518	1
CO27001	0.003673469387755102	0.5569081127629518	1
CO41001	0.004897959183673469	0.5569081127629518	1
CO41132	0.005510204081632653	0.5569081127629518	1
CO41298	0.007959183673469388	0.5569081127629518	1
CO41306	0.004285714285714285	0.5569081127629518	1
CO41396	0.007959183673469388	0.5569081127629518	1
CO41524	0.014081632653061223	0.5569081127629518	1
CO41551	0.006122448979591836	0.5569081127629518	1
CO41668	0.02020408163265306	0.5569081127629518	1
CO44001	0.003061224489795918	0.5569081127629518	1
CO44035	0.003673469387755102	0.5569081127629518	1
CO44078	0.005510204081632653	0.5569081127629518	1
CO44090	0.003673469387755102	0.5569081127629518	1
CO44279	0.004285714285714285	0.5569081127629518	1
CO44430	0.003061224489795918	0.5569081127629518	1
CO44560	0.003061224489795918	0.5569081127629518	1
CO44650	0.004897959183673469	0.5569081127629518	1
CO44847	0.003061224489795918	0.5569081127629518	1
CO47001	0.003673469387755102	0.5569081127629518	1
CO47053	0.007346938775510204	0.5569081127629518	1
CO47189	0.003673469387755102	0.5569081127629518	1
CO47245	0.003673469387755102	0.5569081127629518	1
CO47288	0.004897959183673469	0.5569081127629518	1
CO47555	0.004285714285714285	0.5569081127629518	1
CO47980	0.003673469387755102	0.5569081127629518	1
CO50001	0.005510204081632653	0.5569081127629518	1
CO50006	0.011632653061224489	0.5569081127629518	1
CO50313	0.015306122448979591	0.5569081127629518	1
CO50350	0.004897959183673469	0.5569081127629518	1
CO50573	0.03	0.5569081127629518	1
CO54003	0.006122448979591836	0.5569081127629518	1
CO54405	0.006122448979591836	0.5569081127629518	1
CO54498	0.004897959183673469	0.5569081127629518	1
CO54810	0.00673469387755102	0.5569081127629518	1
CO54874	0.004897959183673469	0.5569081127629518	1
CO63001	0.020816326530612245	0.5569081127629518	1
CO63130	0.00857142857142857	0.5569081127629518	1
CO63190	0.006122448979591836	0.5569081127629518	1
CO63401	0.006122448979591836	0.5569081127629518	1
CO63470	0.007346938775510204	0.5569081127629518	1
CO63594	0.007346938775510204	0.5569081127629518	1
CO66001	0.02142857142857143	0.5569081127629518	1
CO66170	0.02142857142857143	0.5569081127629518	1
CO66400	0.006122448979591836	0.5569081127629518	1
CO66682	0.004285714285714285	0.5569081127629518	1
CO68001	0.005510204081632653	0.5569081127629518	1
CO68081	0.004897959183673469	0.5569081127629518	1
CO68190	0.004897959183673469	0.5569081127629518	1
CO68276	0.006122448979591836	0.5569081127629518	1
CO68307	0.004897959183673469	0.5569081127629518	1
CO68406	0.005510204081632653	0.5569081127629518	1
CO68547	0.006122448979591836	0.5569081127629518	1
CO68575	0.004285714285714285	0.5569081127629518	1
CO68679	0.022653061224489793	0.5569081127629518	1
CO68689	0.004897959183673469	0.5569081127629518	1
CO68755	0.03	0.5569081127629518	1
CO70001	0.00673469387755102	0.5569081127629518	1
CO70215	0.005510204081632653	0.5569081127629518	1
CO70429	0.004285714285714285	0.5569081127629518	1
CO70670	0.005510204081632653	0.5569081127629518	1
CO70708	0.004897959183673469	0.5569081127629518	1
CO70713	0.003673469387755102	0.5569081127629518	1
CO73001	0.018979591836734692	0.5569081127629518	1
CO73168	0.00857142857142857	0.5569081127629518	1
CO73268	0.006122448979591836	0.5569081127629518	1
CO73283	0.011632653061224489	0.5569081127629518	1
CO73319	0.01714285714285714	0.5569081127629518	1
CO73411	0.00673469387755102	0.5569081127629518	1
CO73449	0.024489795918367346	0.5569081127629518	1
CO73504	0.009183673469387754	0.5569081127629518	1
CO73555	0.006122448979591836	0.5569081127629518	1
CO76001	0.006122448979591836	0.5569081127629518	1
CO76147	0.006122448979591836	0.5569081127629518	1
CO76233	0.005510204081632653	0.5569081127629518	1
CO76248	0.004897959183673469	0.5569081127629518	1
CO76275	0.009795918367346938	0.5569081127629518	1
CO76318	0.005510204081632653	0.5569081127629518	1
CO76364	0.003673469387755102	0.5569081127629518	1
CO76520	0.004897959183673469	0.5569081127629518	1
CO76563	0.004285714285714285	0.5569081127629518	1
CO76622	0.009183673469387754	0.5569081127629518	1
CO76736	0.003673469387755102	0.5569081127629518	1
CO76834	0.004285714285714285	0.5569081127629518	1
CO76892	0.003673469387755102	0.5569081127629518	1
